text,label
Report shows economy has increased by 15% over past decade.,REAL
Government announces new policy regarding AI after public consultation.,REAL
Study finds correlation between AI and health benefits in new research.,REAL
"MIRACLE: apple cider vinegar cures all diseases, Big Pharma trying to suppress it.",FAKE
"MIRACLE: apple cider vinegar cures all diseases, Big Pharma trying to suppress it.",FAKE
"SHOCKING: Government hiding economy from public, leaked documents reveal.",FAKE
BREAKING: Beyoncé endorses controversial energy drink that doctors hate.,FAKE
Local community celebrates exhibition with record attendance.,REAL
Study finds correlation between economy and health benefits in new research.,REAL
EXPOSED: Famous doctor caught in massive scandal involving AI.,FAKE
"Company reports quarterly earnings, shows 5% growth in tech.",REAL
URGENT: Scientists discover vaccines will destroy Earth by 2030.,FAKE
Government announces new policy regarding vaccines after public consultation.,REAL
Study finds correlation between vaccines and economic growth in new research.,REAL
"SHOCKING: Government hiding climate change from public, leaked documents reveal.",FAKE
"SHOCKING: Government hiding AI from public, leaked documents reveal.",FAKE
URGENT: Scientists discover vaccines will destroy Earth by 2050.,FAKE
Report shows AI has increased by 5% over past decade.,REAL
"MIRACLE: apple cider vinegar cures all diseases, Big Pharma trying to suppress it.",FAKE
EXPOSED: Famous doctor caught in massive scandal involving vaccines.,FAKE
Scientists publish findings on AI in peer-reviewed journal.,REAL
Experts discuss implications of AI at international conference.,REAL
Government announces new policy regarding economy after public consultation.,REAL
Report shows climate change has increased by 10% over past decade.,REAL
CONSPIRACY: Secret society of tech CEOs controlling world events.,FAKE
Government announces new policy regarding climate change after public consultation.,REAL
Scientists publish findings on economy in peer-reviewed journal.,REAL
Government announces new policy regarding AI after public consultation.,REAL
BREAKING: Beyoncé endorses controversial energy drink that doctors hate.,FAKE
"MIRACLE: coconut oil cures all diseases, Big Pharma trying to suppress it.",FAKE
Report shows economy has increased by 5% over past decade.,REAL
ALERT: Elon Musk secretly supports extremist groups.,FAKE
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
Study finds correlation between vaccines and economic growth in new research.,REAL
EXPOSED: Famous politician caught in massive scandal involving AI.,FAKE
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
Government announces new policy regarding AI after public consultation.,REAL
Government announces new policy regarding vaccines after public consultation.,REAL
BREAKING: Beyoncé endorses controversial energy drink that doctors hate.,FAKE
Government announces new policy regarding climate change after public consultation.,REAL
BREAKING: Elon Musk endorses controversial diet pill that doctors hate.,FAKE
URGENT: Scientists discover economy will destroy Earth by 2025.,FAKE
"Company reports quarterly earnings, shows 5% growth in healthcare.",REAL
Study finds correlation between AI and health benefits in new research.,REAL
Scientists publish findings on vaccines in peer-reviewed journal.,REAL
Study finds correlation between vaccines and economic growth in new research.,REAL
Government announces new policy regarding economy after public consultation.,REAL
CONSPIRACY: Secret society of tech CEOs controlling world events.,FAKE
"SHOCKING: Government hiding vaccines from public, leaked documents reveal.",FAKE
Scientists publish findings on climate change in peer-reviewed journal.,REAL
"Company reports quarterly earnings, shows 10% growth in finance.",REAL
Study finds correlation between vaccines and economic growth in new research.,REAL
EXPOSED: Famous politician caught in massive scandal involving vaccines.,FAKE
Study finds correlation between AI and health benefits in new research.,REAL
Experts discuss implications of vaccines at international conference.,REAL
ALERT: Oprah secretly supports extremist groups.,FAKE
ALERT: Beyoncé secretly supports foreign agents.,FAKE
BREAKING: Oprah endorses controversial diet pill that doctors hate.,FAKE
URGENT: Scientists discover climate change will destroy Earth by 2025.,FAKE
Scientists publish findings on climate change in peer-reviewed journal.,REAL
ALERT: Beyoncé secretly supports extremist groups.,FAKE
CONSPIRACY: Secret society of tech CEOs controlling world events.,FAKE
URGENT: Scientists discover climate change will destroy Earth by 2030.,FAKE
EXPOSED: Famous scientist caught in massive scandal involving climate change.,FAKE
Report shows climate change has increased by 20% over past decade.,REAL
"SHOCKING: Government hiding vaccines from public, leaked documents reveal.",FAKE
"MIRACLE: apple cider vinegar cures all diseases, Big Pharma trying to suppress it.",FAKE
"SHOCKING: Government hiding climate change from public, leaked documents reveal.",FAKE
URGENT: Scientists discover vaccines will destroy Earth by 2025.,FAKE
Study finds correlation between climate change and economic growth in new research.,REAL
"MIRACLE: apple cider vinegar cures all diseases, Big Pharma trying to suppress it.",FAKE
Scientists publish findings on economy in peer-reviewed journal.,REAL
"MIRACLE: coconut oil cures all diseases, Big Pharma trying to suppress it.",FAKE
Study finds correlation between climate change and health benefits in new research.,REAL
"MIRACLE: apple cider vinegar cures all diseases, Big Pharma trying to suppress it.",FAKE
Experts discuss implications of AI at international conference.,REAL
ALERT: Tom Hanks secretly supports extremist groups.,FAKE
Scientists publish findings on climate change in peer-reviewed journal.,REAL
Local community celebrates exhibition with record attendance.,REAL
Government announces new policy regarding climate change after public consultation.,REAL
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
"SHOCKING: Government hiding climate change from public, leaked documents reveal.",FAKE
BREAKING: Tom Hanks endorses controversial energy drink that doctors hate.,FAKE
URGENT: Scientists discover economy will destroy Earth by 2030.,FAKE
Study finds correlation between vaccines and health benefits in new research.,REAL
ALERT: Tom Hanks secretly supports extremist groups.,FAKE
Local community celebrates exhibition with record attendance.,REAL
URGENT: Scientists discover vaccines will destroy Earth by 2050.,FAKE
"Company reports quarterly earnings, shows 20% growth in healthcare.",REAL
Report shows AI has increased by 10% over past decade.,REAL
Study finds correlation between economy and economic growth in new research.,REAL
URGENT: Scientists discover climate change will destroy Earth by 2025.,FAKE
EXPOSED: Famous scientist caught in massive scandal involving vaccines.,FAKE
"Company reports quarterly earnings, shows 5% growth in tech.",REAL
"Company reports quarterly earnings, shows 20% growth in healthcare.",REAL
CONSPIRACY: Secret society of tech CEOs controlling world events.,FAKE
EXPOSED: Famous politician caught in massive scandal involving vaccines.,FAKE
"SHOCKING: Government hiding economy from public, leaked documents reveal.",FAKE
Government announces new policy regarding economy after public consultation.,REAL
URGENT: Scientists discover economy will destroy Earth by 2025.,FAKE
Government announces new policy regarding climate change after public consultation.,REAL
URGENT: Scientists discover economy will destroy Earth by 2025.,FAKE
URGENT: Scientists discover economy will destroy Earth by 2025.,FAKE
URGENT: Scientists discover climate change will destroy Earth by 2050.,FAKE
Government announces new policy regarding vaccines after public consultation.,REAL
Study finds correlation between vaccines and health benefits in new research.,REAL
URGENT: Scientists discover climate change will destroy Earth by 2050.,FAKE
Scientists publish findings on climate change in peer-reviewed journal.,REAL
EXPOSED: Famous scientist caught in massive scandal involving vaccines.,FAKE
EXPOSED: Famous politician caught in massive scandal involving economy.,FAKE
Report shows climate change has increased by 5% over past decade.,REAL
"MIRACLE: turmeric cures all diseases, Big Pharma trying to suppress it.",FAKE
"SHOCKING: Government hiding economy from public, leaked documents reveal.",FAKE
"SHOCKING: Government hiding vaccines from public, leaked documents reveal.",FAKE
Local community celebrates conference with record attendance.,REAL
EXPOSED: Famous politician caught in massive scandal involving AI.,FAKE
Local community celebrates festival with record attendance.,REAL
Local community celebrates festival with record attendance.,REAL
"SHOCKING: Government hiding climate change from public, leaked documents reveal.",FAKE
"Company reports quarterly earnings, shows 20% growth in finance.",REAL
Local community celebrates festival with record attendance.,REAL
URGENT: Scientists discover climate change will destroy Earth by 2050.,FAKE
ALERT: Tom Hanks secretly supports extremist groups.,FAKE
Local community celebrates exhibition with record attendance.,REAL
"Company reports quarterly earnings, shows 20% growth in healthcare.",REAL
Government announces new policy regarding climate change after public consultation.,REAL
ALERT: Oprah secretly supports extremist groups.,FAKE
Government announces new policy regarding AI after public consultation.,REAL
"SHOCKING: Government hiding climate change from public, leaked documents reveal.",FAKE
Government announces new policy regarding AI after public consultation.,REAL
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
ALERT: Beyoncé secretly supports extremist groups.,FAKE
ALERT: Tom Hanks secretly supports foreign agents.,FAKE
Scientists publish findings on AI in peer-reviewed journal.,REAL
BREAKING: Beyoncé endorses controversial vitamin that doctors hate.,FAKE
Study finds correlation between AI and health benefits in new research.,REAL
Local community celebrates conference with record attendance.,REAL
Scientists publish findings on AI in peer-reviewed journal.,REAL
Experts discuss implications of economy at international conference.,REAL
ALERT: Oprah secretly supports foreign agents.,FAKE
ALERT: Oprah secretly supports extremist groups.,FAKE
Local community celebrates festival with record attendance.,REAL
"SHOCKING: Government hiding AI from public, leaked documents reveal.",FAKE
Report shows AI has increased by 10% over past decade.,REAL
Scientists publish findings on AI in peer-reviewed journal.,REAL
Government announces new policy regarding economy after public consultation.,REAL
EXPOSED: Famous scientist caught in massive scandal involving AI.,FAKE
URGENT: Scientists discover climate change will destroy Earth by 2025.,FAKE
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
Scientists publish findings on vaccines in peer-reviewed journal.,REAL
EXPOSED: Famous doctor caught in massive scandal involving economy.,FAKE
Government announces new policy regarding vaccines after public consultation.,REAL
Scientists publish findings on AI in peer-reviewed journal.,REAL
Study finds correlation between climate change and health benefits in new research.,REAL
Study finds correlation between climate change and health benefits in new research.,REAL
BREAKING: Beyoncé endorses controversial energy drink that doctors hate.,FAKE
"SHOCKING: Government hiding climate change from public, leaked documents reveal.",FAKE
Experts discuss implications of economy at international conference.,REAL
"SHOCKING: Government hiding AI from public, leaked documents reveal.",FAKE
"SHOCKING: Government hiding climate change from public, leaked documents reveal.",FAKE
Local community celebrates conference with record attendance.,REAL
URGENT: Scientists discover vaccines will destroy Earth by 2030.,FAKE
BREAKING: Tom Hanks endorses controversial diet pill that doctors hate.,FAKE
Local community celebrates exhibition with record attendance.,REAL
URGENT: Scientists discover AI will destroy Earth by 2050.,FAKE
Experts discuss implications of economy at international conference.,REAL
BREAKING: Tom Hanks endorses controversial diet pill that doctors hate.,FAKE
Local community celebrates exhibition with record attendance.,REAL
"SHOCKING: Government hiding economy from public, leaked documents reveal.",FAKE
Government announces new policy regarding climate change after public consultation.,REAL
URGENT: Scientists discover vaccines will destroy Earth by 2030.,FAKE
"SHOCKING: Government hiding AI from public, leaked documents reveal.",FAKE
"SHOCKING: Government hiding AI from public, leaked documents reveal.",FAKE
Experts discuss implications of climate change at international conference.,REAL
"Company reports quarterly earnings, shows 10% growth in healthcare.",REAL
URGENT: Scientists discover vaccines will destroy Earth by 2050.,FAKE
URGENT: Scientists discover AI will destroy Earth by 2025.,FAKE
Scientists publish findings on climate change in peer-reviewed journal.,REAL
Local community celebrates festival with record attendance.,REAL
ALERT: Oprah secretly supports extremist groups.,FAKE
EXPOSED: Famous scientist caught in massive scandal involving AI.,FAKE
"SHOCKING: Government hiding AI from public, leaked documents reveal.",FAKE
CONSPIRACY: Secret society of billionaires controlling world events.,FAKE
EXPOSED: Famous scientist caught in massive scandal involving AI.,FAKE
Report shows climate change has increased by 10% over past decade.,REAL
Report shows AI has increased by 15% over past decade.,REAL
Local community celebrates conference with record attendance.,REAL
Government announces new policy regarding vaccines after public consultation.,REAL
URGENT: Scientists discover climate change will destroy Earth by 2025.,FAKE
Experts discuss implications of AI at international conference.,REAL
Government announces new policy regarding climate change after public consultation.,REAL
EXPOSED: Famous politician caught in massive scandal involving economy.,FAKE
Local community celebrates conference with record attendance.,REAL
EXPOSED: Famous politician caught in massive scandal involving AI.,FAKE
ALERT: Elon Musk secretly supports foreign agents.,FAKE
"SHOCKING: Government hiding vaccines from public, leaked documents reveal.",FAKE
Report shows AI has increased by 15% over past decade.,REAL
EXPOSED: Famous doctor caught in massive scandal involving economy.,FAKE
"MIRACLE: turmeric cures all diseases, Big Pharma trying to suppress it.",FAKE
EXPOSED: Famous scientist caught in massive scandal involving vaccines.,FAKE
"MIRACLE: apple cider vinegar cures all diseases, Big Pharma trying to suppress it.",FAKE
BREAKING: Elon Musk endorses controversial diet pill that doctors hate.,FAKE
Study finds correlation between AI and economic growth in new research.,REAL
"MIRACLE: coconut oil cures all diseases, Big Pharma trying to suppress it.",FAKE
CONSPIRACY: Secret society of billionaires controlling world events.,FAKE
Government announces new policy regarding climate change after public consultation.,REAL
URGENT: Scientists discover vaccines will destroy Earth by 2050.,FAKE
Scientists publish findings on AI in peer-reviewed journal.,REAL
URGENT: Scientists discover AI will destroy Earth by 2025.,FAKE
"MIRACLE: apple cider vinegar cures all diseases, Big Pharma trying to suppress it.",FAKE
BREAKING: Beyoncé endorses controversial energy drink that doctors hate.,FAKE
EXPOSED: Famous doctor caught in massive scandal involving AI.,FAKE
Scientists publish findings on AI in peer-reviewed journal.,REAL
"SHOCKING: Government hiding economy from public, leaked documents reveal.",FAKE
ALERT: Beyoncé secretly supports foreign agents.,FAKE
Local community celebrates exhibition with record attendance.,REAL
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
EXPOSED: Famous politician caught in massive scandal involving economy.,FAKE
Study finds correlation between AI and economic growth in new research.,REAL
Scientists publish findings on vaccines in peer-reviewed journal.,REAL
CONSPIRACY: Secret society of tech CEOs controlling world events.,FAKE
"MIRACLE: coconut oil cures all diseases, Big Pharma trying to suppress it.",FAKE
BREAKING: Elon Musk endorses controversial energy drink that doctors hate.,FAKE
"MIRACLE: coconut oil cures all diseases, Big Pharma trying to suppress it.",FAKE
BREAKING: Beyoncé endorses controversial vitamin that doctors hate.,FAKE
Scientists publish findings on vaccines in peer-reviewed journal.,REAL
EXPOSED: Famous doctor caught in massive scandal involving climate change.,FAKE
EXPOSED: Famous politician caught in massive scandal involving economy.,FAKE
Report shows economy has increased by 20% over past decade.,REAL
Report shows climate change has increased by 5% over past decade.,REAL
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
Government announces new policy regarding economy after public consultation.,REAL
Experts discuss implications of vaccines at international conference.,REAL
Study finds correlation between AI and health benefits in new research.,REAL
"Company reports quarterly earnings, shows 20% growth in healthcare.",REAL
Scientists publish findings on AI in peer-reviewed journal.,REAL
"Company reports quarterly earnings, shows 5% growth in finance.",REAL
Scientists publish findings on climate change in peer-reviewed journal.,REAL
Study finds correlation between climate change and economic growth in new research.,REAL
"MIRACLE: turmeric cures all diseases, Big Pharma trying to suppress it.",FAKE
Report shows AI has increased by 20% over past decade.,REAL
CONSPIRACY: Secret society of tech CEOs controlling world events.,FAKE
"SHOCKING: Government hiding AI from public, leaked documents reveal.",FAKE
CONSPIRACY: Secret society of aliens controlling world events.,FAKE
Study finds correlation between vaccines and health benefits in new research.,REAL
ALERT: Beyoncé secretly supports foreign agents.,FAKE
CONSPIRACY: Secret society of billionaires controlling world events.,FAKE
Local community celebrates exhibition with record attendance.,REAL
Government announces new policy regarding vaccines after public consultation.,REAL
Scientists publish findings on vaccines in peer-reviewed journal.,REAL
"SHOCKING: Government hiding AI from public, leaked documents reveal.",FAKE
EXPOSED: Famous scientist caught in massive scandal involving AI.,FAKE
BREAKING: Beyoncé endorses controversial vitamin that doctors hate.,FAKE
BREAKING: Beyoncé endorses controversial energy drink that doctors hate.,FAKE
Study finds correlation between AI and economic growth in new research.,REAL
BREAKING: Oprah endorses controversial energy drink that doctors hate.,FAKE
"Company reports quarterly earnings, shows 5% growth in healthcare.",REAL
CONSPIRACY: Secret society of billionaires controlling world events.,FAKE
Report shows vaccines has increased by 10% over past decade.,REAL
BREAKING: Elon Musk endorses controversial diet pill that doctors hate.,FAKE
Experts discuss implications of economy at international conference.,REAL
EXPOSED: Famous scientist caught in massive scandal involving vaccines.,FAKE
